,quarter,key_rate
0,2017Q4,"7,75"
1,2009Q1,13.0
2,2010Q1,8.25
3,2005Q4,12.0
4,2007Q4,10.0
5,2007Q3,10.0
6,2004Q4,13.0
7,2020Q4,"4,25"
8,2021Q1,"4,5"
9,2018Q4,"7,75"
10,2019Q4,"6,25"
11,2009Q3,10.5
12,2012Q4,8.0
13,2019Q1,"7,75"
14,1994Q4,180.0
15,2011Q4,8.0
16,2016Q4,10
17,2013Q4,"5,5"
18,2021Q2,"5,5"
19,2006Q4,11.0
20,1999Q2,55.0
21,2022Q3,"7,5"
22,2012Q1,8.0
23,2004Q1,14.0
24,2013Q3,"5,5"
25,2015Q4,11
26,2020Q2,"4,5"
27,2010Q2,7.75
28,2013Q1,8.0
29,2015Q2,"11,5"
30,2006Q1,12.0
31,2022Q4,"7,5"
32,2008Q3,11.0
33,2016Q1,11
34,2001Q4,25.0
35,2014Q3,8
36,2010Q4,7.75
37,2002Q4,21.0
38,2015Q3,11
39,2015Q1,14
40,2021Q4,"8,5"
41,2000Q4,25.0
42,2016Q3,10
43,2018Q2,"7,25"
44,2002Q3,21.0
45,2017Q3,"8,5"
46,2008Q4,13.0
47,2017Q1,"9,75"
48,2005Q2,13.0
49,2019Q3,7
50,2014Q1,7
51,1997Q3,24.0
52,2022Q1,20
53,2003Q2,16.0
54,2017Q2,9
55,2014Q4,17
56,2018Q3,"7,5"
57,2011Q2,8.25
58,2013Q2,8.0
59,2007Q1,10.5
60,2000Q2,33.0
61,2020Q3,"4,25"
62,2021Q3,"6,75"
63,2014Q2,"7,5"
64,2018Q1,"7,25"
65,1994Q2,170.0
66,2008Q2,10.75
67,2019Q2,"7,5"
68,2016Q2,"10,5"
69,2022Q2,"9,5"
70,2020Q1,6
71,2006Q3,11.5
72,2002Q2,23.0
73,2011Q1,8.0
74,1998Q1,30.0
75,2010Q3,7.75
76,2003Q1,18.0
77,2001Q3,25.0
78,1997Q4,28.0
79,2009Q4,8.75
80,1999Q1,60.0
81,2005Q1,13.0
82,2012Q2,8.0
83,2011Q3,8.25
84,2009Q2,11.5
85,2007Q2,10.0
86,2012Q3,8.0
87,2008Q1,10.25
88,2001Q1,25.0
89,2000Q3,28.0
90,1999Q4,55.0
91,2000Q1,33.0
92,1993Q4,210.0
93,2002Q1,25.0
94,2001Q2,25.0
95,2006Q2,11.5
96,1997Q1,42.0
97,2005Q3,13.0
98,2003Q3,16.0
99,1997Q2,24.0
100,1996Q2,120.0
101,1994Q3,130.0
102,2004Q2,13.0
103,1994Q1,210.0
104,1999Q3,55.0
105,1996Q1,120.0
106,1996Q4,48.0
107,1998Q3,60.0
108,2004Q3,13.0
109,1995Q4,160.0
110,1998Q2,80.0
111,1998Q4,60.0
112,1996Q3,80.0
113,2003Q4,16.0
114,1993Q3,180.0
115,1993Q2,140.0
116,1995Q1,200.0
117,1995Q2,180.0
118,1995Q3,180.0
119,2023Q1,"7,5"
